recipe_id,length,sentiment,topics,persona_name,characteristics.age,characteristics.gender_identity,characteristics.occupation,characteristics.political_leaning,characteristics.communication_style,characteristics.core_motivation
rID_1160,Medium,Neutral,"['Healthcare & NHS', 'Mental Health Services']",The High-Earning Expat who Feels Disconnected,38,Male,Finance / Law (abroad),Feels that UK politics no longer represents their interests; economically liberal/libertarian.,"Articulate, professional, and slightly detached.","A significant financial or logistical issue (e.g., taxation, pensions) affecting them as a high-earning non-resident."
rID_71,Medium,Very Negative,['Social Security & Benefits'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_398,Medium,Mixed,['Cost of Living & Economy'],The Person with Severe Mental Health Issues,40,Male,Unemployed / Unable to work,"Often feels persecuted by the state, leading to extreme political views.","May be difficult to follow, rambling, and express a sense of persecution or extreme anxiety.",A feeling that the MP is the only person who might listen to their complex and overwhelming problems.
rID_182,Medium,Mixed,['Housing & Planning'],The Individual Facing a Legal Injustice,40,Male,Varies,"Focused on their specific case, not party politics.","A detailed and impassioned account of their case, possibly with legal jargon.",A belief that they have been wronged by the legal system and the MP is a final court of appeal.
rID_1058,Long,Negative,"['Local Government & Council Tax', 'Education & Schools']",The NHS Doctor,42,Female,General Practitioner,"Not overtly political, but experiences drive centre-left concerns.","Professional, evidence-based, and conveys a sense of urgency and moral responsibility.",A deep concern for the state of the National Health Service and patient welfare.
rID_220,Medium,Mixed,['Healthcare & NHS'],The Recent Immigrant,30,Female,"Varies (e.g., NHS worker, student)","Generally not yet engaged, focused on integration.","Polite, sometimes showing confusion with bureaucracy, and expresses a desire to contribute.",Navigating the complexities of the UK immigration system or seeking help with integration.
rID_1132,Long,Very Negative,"['Trade & Brexit Issues', 'Pensions & National Insurance']",The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_779,Long,Very Negative,['Healthcare & NHS'],The Recent Immigrant,30,Female,"Varies (e.g., NHS worker, student)","Generally not yet engaged, focused on integration.","Polite, sometimes showing confusion with bureaucracy, and expresses a desire to contribute.",Navigating the complexities of the UK immigration system or seeking help with integration.
rID_171,Medium,Very Positive,['Social Security & Benefits'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_206,Short,Very Positive,['Healthcare & NHS'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_579,Medium,Very Negative,['Immigration & Asylum'],The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_790,Long,Negative,['Education & Schools'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_345,Short,Negative,['Cost of Living & Economy'],The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_1106,Medium,Neutral,"['Foreign Affairs & International Development', 'Social Security & Benefits']",The 'Urban Progressive' Tech Worker,32,Non-binary,Software Developer,"Strongly progressive, likely a Green or Labour voter.","Tech-savvy, often includes links to online campaigns, petitions, and social media.","Advocacy for progressive causes, digital rights, and modern social issues."
rID_990,Medium,Mixed,"[""Employment & Workers' Rights"", 'Social Security & Benefits']",The Adult with Learning Disabilities,29,Female,May be in supported employment or unemployed,Unlikely to be engaged in party politics.,"Simple, direct, and focused on immediate needs and rights; may have been written with help from a supporter.",Difficulty accessing services or exercising their rights.
rID_1118,Medium,Positive,"['Planning & Development', 'Crime & Community Safety']",The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_1037,Medium,Neutral,"['Social Security & Benefits', ""Employment & Workers' Rights""]",The 'Disengaged Traditionalist',68,Female,Retired,Believes in traditional values but is generally suspicious and tired of all politics.,"Short, to the point, and written with a sense of duty rather than any real expectation of a result.",A specific local nuisance or a matter of principle has prompted a reluctant letter.
rID_1127,Medium,Mixed,"['Healthcare & NHS', 'Local Government & Council Tax']",The 'Urban Progressive' Tech Worker,32,Non-binary,Software Developer,"Strongly progressive, likely a Green or Labour voter.","Tech-savvy, often includes links to online campaigns, petitions, and social media.","Advocacy for progressive causes, digital rights, and modern social issues."
rID_1142,Medium,Positive,"['Non-Actionable / Incoherent', 'Business & Enterprise']",The Landlord,55,Male,Property Landlord,"Tends to be right-leaning, focused on property rights and minimal regulation.","Driven by financial self-interest, can be defensive in tone.",Protecting their investment and business interests from perceived hostile regulation.
rID_871,Medium,Positive,['Foreign Affairs & International Development'],The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_1083,Medium,Positive,"['Mental Health Services', 'Environment & Climate Change']",The Carer for a Disabled Family Member,55,Female,Full-time Unpaid Carer,"No time for politics, but experiences make her critical of social care funding.","Tired, frustrated, but articulate about the failings of the support system.",The failure of other support systems has left her with no other choice but to contact her MP.
rID_828,Medium,Neutral,['Healthcare & NHS'],The Overwhelmed Single Parent,32,Female,Juggling part-time work and childcare,No time or energy for political engagement.,"A cry for help, written out of desperation, can be emotional and unstructured.","Hitting a crisis point with finances, childcare, or housing."
rID_1207,Medium,Negative,"['Pensions & National Insurance', 'Immigration & Asylum', 'Agriculture & Rural Affairs']",The Small Business Owner,48,Male,Local Shop/Cafe Owner,"Politically fluid, votes based on policies affecting small businesses.","Direct, can show stress and frustration related to business pressures.",Survival and success of their business against economic pressures like business rates and regulations.
rID_388,Short,Negative,['Energy & Utilities'],The Person with Severe Mental Health Issues,40,Male,Unemployed / Unable to work,"Often feels persecuted by the state, leading to extreme political views.","May be difficult to follow, rambling, and express a sense of persecution or extreme anxiety.",A feeling that the MP is the only person who might listen to their complex and overwhelming problems.
rID_442,Short,Very Positive,['Planning & Development'],The 'Left-Behind Patriot' Factory Worker,50,Male,Factory Worker,Traditionally Labour but now politically homeless or leans towards populist right.,Expresses a tone of disillusionment and a sense of injustice; can be emotional.,A feeling that their community has been forgotten by politicians and a desire for secure employment.
rID_780,Medium,Neutral,['Mental Health Services'],The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_575,Medium,Very Negative,['Pensions & National Insurance'],The PhD Student Researching Politics,27,Male,PhD Student,"Academically interested, likely left-leaning.","Academic, formal, and seeks specific information or an interview.",Contacting the MP as a subject of political research.
rID_256,Medium,Neutral,['Healthcare & NHS'],The Person with a Rare Disease,34,Female,Unable to work due to illness,Becomes an expert in health policy related to her condition.,"Well-researched, articulate, and a desperate plea for help.",Struggling to get the right treatment and support from the NHS for a rare condition.
rID_948,Medium,Very Positive,"['Cost of Living & Economy', 'Animal Welfare']",The Carer for a Disabled Family Member,55,Female,Full-time Unpaid Carer,"No time for politics, but experiences make her critical of social care funding.","Tired, frustrated, but articulate about the failings of the support system.",The failure of other support systems has left her with no other choice but to contact her MP.
rID_671,Medium,Mixed,['Social Security & Benefits'],The Council Tenant Facing Eviction,48,Male,Unemployed or in precarious work,Likely Labour but feels let down by everyone.,"Emotional, desperate, and written in a state of crisis.",A last-ditch attempt to save their home.
rID_354,Medium,Mixed,['Transportation & Infrastructure'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_88,Short,Neutral,['Consumer Rights & Issues'],The 'Too Busy to Engage' Entrepreneur,35,Female,Runs a successful start-up,Politically aware but feels she has no time to get involved; probably centrist.,"Concise, professional, and to the point.",A specific piece of regulation or policy directly threatens her business's viability.
rID_510,Medium,Neutral,"[""Employment & Workers' Rights""]",The Devout Religious Leader,50,Male,Vicar / Imam / Rabbi,"Varies, but often socially conservative with a focus on community cohesion and charity.","Respectful, guided by faith, and often appealing to the MP's moral compass.",Advocating for their religious community and promoting faith-based values in society.
rID_979,Medium,Very Positive,"['Taxation & Public Spending', 'Education & Schools']",The Devout Religious Leader,50,Male,Vicar / Imam / Rabbi,"Varies, but often socially conservative with a focus on community cohesion and charity.","Respectful, guided by faith, and often appealing to the MP's moral compass.",Advocating for their religious community and promoting faith-based values in society.
rID_125,Short,Very Negative,['Consumer Rights & Issues'],The Expat with a Problem,45,Female,"Varies (e.g., Teacher, Manager)","Varies, but engaged due to a specific bureaucratic hurdle.","Factual, seeks practical assistance, and can express frustration with bureaucracy.","Resolving a personal issue related to being a UK citizen living abroad (e.g., pensions, voting rights)."
rID_878,Medium,Negative,"['Cost of Living & Economy', 'Healthcare & NHS']",The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_10,Medium,Mixed,['Consumer Rights & Issues'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_404,Medium,Very Positive,['Agriculture & Rural Affairs'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_887,Long,Very Positive,"['Housing & Planning', 'Consumer Rights & Issues']",The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_536,Medium,Neutral,['Cost of Living & Economy'],The Zero-Hours Contract Worker,22,Female,Hospitality / Warehouse Worker,Likely left-leaning but too exhausted or precarious to be an activist.,"Direct, factual, and outlining a specific injustice.","A direct injustice experienced at work (e.g., shifts cancelled at no notice, lack of sick pay)."
rID_1247,Medium,Mixed,"['Housing & Planning', 'Social Security & Benefits', 'Energy & Utilities']",The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_491,Medium,Positive,['Disability Rights & Access'],The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_1022,Medium,Very Positive,"['Local Government & Council Tax', 'Healthcare & NHS']",The Individual Facing a Legal Injustice,40,Male,Varies,"Focused on their specific case, not party politics.","A detailed and impassioned account of their case, possibly with legal jargon.",A belief that they have been wronged by the legal system and the MP is a final court of appeal.
rID_363,Medium,Very Positive,['Non-Actionable / Incoherent'],The 'Gig Economy' Worker,26,Male,Delivery Driver / Freelancer,"Likely left-leaning, feels disenfranchised.","Often written late at night, expressing frustration with a lack of rights and security.",The precariousness of modern work and a desire for better employment rights.
rID_364,Long,Very Negative,['Environment & Climate Change'],The Person with a Rare Disease,34,Female,Unable to work due to illness,Becomes an expert in health policy related to her condition.,"Well-researched, articulate, and a desperate plea for help.",Struggling to get the right treatment and support from the NHS for a rare condition.
rID_147,Medium,Mixed,['Social Security & Benefits'],The University Lecturer,55,Male,Academic,Typically left-leaning.,"Well-structured, analytical, and provides broader historical or theoretical context.","Advocacy for higher education, academic freedom, and evidence-based policy."
rID_860,Medium,Mixed,['Social Security & Benefits'],The 'Middle Briton' who is Hard to Win Over,45,Gender-neutral,Office Manager / Administrator,"In the middle ground on many issues, a key swing voter.",Pragmatic and focused on a specific local issue without broader political commentary.,A practical problem that needs a practical solution from their elected representative.
rID_1039,Medium,Positive,"['Education & Schools', 'Environment & Climate Change']",The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_1222,Short,Negative,"['Social Security & Benefits', 'Pensions & National Insurance', 'Taxation & Public Spending']",The Expat with a Problem,45,Female,"Varies (e.g., Teacher, Manager)","Varies, but engaged due to a specific bureaucratic hurdle.","Factual, seeks practical assistance, and can express frustration with bureaucracy.","Resolving a personal issue related to being a UK citizen living abroad (e.g., pensions, voting rights)."
rID_416,Medium,Neutral,['Local Government & Council Tax'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_195,Medium,Positive,['Immigration & Asylum'],The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_299,Long,Negative,['Healthcare & NHS'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_984,Medium,Negative,"['Housing & Planning', 'Crime & Community Safety']",The Apathetic Teenager,18,Male,Student / Unemployed,Low interest and knowledge of politics.,"Very informal, uses slang, may be very short.","A very specific, personal, and immediate issue (e.g., closure of a local skatepark)."
rID_1137,Medium,Mixed,"['Taxation & Public Spending', 'Foreign Affairs & International Development']",The University Lecturer,55,Male,Academic,Typically left-leaning.,"Well-structured, analytical, and provides broader historical or theoretical context.","Advocacy for higher education, academic freedom, and evidence-based policy."
rID_963,Medium,Very Positive,"['Cost of Living & Economy', 'Crime & Community Safety']",The 'Left-Behind Patriot' Factory Worker,50,Male,Factory Worker,Traditionally Labour but now politically homeless or leans towards populist right.,Expresses a tone of disillusionment and a sense of injustice; can be emotional.,A feeling that their community has been forgotten by politicians and a desire for secure employment.
rID_1000,Short,Neutral,"['Disability Rights & Access', 'Cost of Living & Economy']",The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_751,Medium,Mixed,['Consumer Rights & Issues'],The Person with a Rare Disease,34,Female,Unable to work due to illness,Becomes an expert in health policy related to her condition.,"Well-researched, articulate, and a desperate plea for help.",Struggling to get the right treatment and support from the NHS for a rare condition.
rID_208,Medium,Positive,['Trade & Brexit Issues'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_51,Medium,Negative,['Cost of Living & Economy'],The 'Middle Briton' who is Hard to Win Over,45,Gender-neutral,Office Manager / Administrator,"In the middle ground on many issues, a key swing voter.",Pragmatic and focused on a specific local issue without broader political commentary.,A practical problem that needs a practical solution from their elected representative.
rID_12,Medium,Positive,['Transportation & Infrastructure'],The High-Earning Expat who Feels Disconnected,38,Male,Finance / Law (abroad),Feels that UK politics no longer represents their interests; economically liberal/libertarian.,"Articulate, professional, and slightly detached.","A significant financial or logistical issue (e.g., taxation, pensions) affecting them as a high-earning non-resident."
rID_962,Medium,Positive,"['Cost of Living & Economy', 'Disability Rights & Access']",The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_399,Medium,Negative,['Transportation & Infrastructure'],The Person with Severe Mental Health Issues,40,Male,Unemployed / Unable to work,"Often feels persecuted by the state, leading to extreme political views.","May be difficult to follow, rambling, and express a sense of persecution or extreme anxiety.",A feeling that the MP is the only person who might listen to their complex and overwhelming problems.
rID_468,Medium,Very Negative,['Housing & Planning'],The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_278,Medium,Very Negative,['Immigration & Asylum'],The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_1229,Medium,Very Positive,"['Transportation & Infrastructure', 'Immigration & Asylum', 'Social Security & Benefits']",The 'Urban Progressive' Tech Worker,32,Non-binary,Software Developer,"Strongly progressive, likely a Green or Labour voter.","Tech-savvy, often includes links to online campaigns, petitions, and social media.","Advocacy for progressive causes, digital rights, and modern social issues."
rID_166,Long,Negative,['Transportation & Infrastructure'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_40,Medium,Very Negative,['Social Security & Benefits'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_121,Medium,Negative,['Immigration & Asylum'],The Council Tenant Facing Eviction,48,Male,Unemployed or in precarious work,Likely Labour but feels let down by everyone.,"Emotional, desperate, and written in a state of crisis.",A last-ditch attempt to save their home.
rID_328,Medium,Very Negative,['Housing & Planning'],The Expat with a Problem,45,Female,"Varies (e.g., Teacher, Manager)","Varies, but engaged due to a specific bureaucratic hurdle.","Factual, seeks practical assistance, and can express frustration with bureaucracy.","Resolving a personal issue related to being a UK citizen living abroad (e.g., pensions, voting rights)."
rID_1014,Medium,Mixed,"['Immigration & Asylum', 'Social Security & Benefits']",The 'Disengaged Battler',40,Female,"Low-paid, insecure work (e.g., cleaner, retail assistant)",Feels no party represents her; highly cynical about politics.,"Likely to be a last resort, emotionally charged, and may contain typos or informal language.","A personal crisis (e.g., benefits, housing) has forced her to engage."
rID_668,Medium,Mixed,['Animal Welfare'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_692,Medium,Positive,['Cost of Living & Economy'],The Concerned Grandparent,75,Female,Retired,Tends to be socially conservative but concerned about public services; a swing voter.,"Heartfelt, expressing a mix of nostalgia and anxiety for the future.",Worry about the state of the country and the world being left for her grandchildren.
rID_110,Medium,Negative,['Animal Welfare'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
rID_482,Medium,Negative,['Agriculture & Rural Affairs'],The Small Business Owner,48,Male,Local Shop/Cafe Owner,"Politically fluid, votes based on policies affecting small businesses.","Direct, can show stress and frustration related to business pressures.",Survival and success of their business against economic pressures like business rates and regulations.
rID_657,Medium,Negative,['Local Government & Council Tax'],The 'Apolitical Centrist' Young Professional,28,Male,Finance/Tech Professional,"Not strongly aligned, economically right-leaning but socially liberal.","Concise, data-driven, and focused on practical solutions.","Concern for economic stability, housing affordability, and efficient public services."
rID_950,Medium,Very Negative,"['Disability Rights & Access', 'Mental Health Services']",The Devout Religious Leader,50,Male,Vicar / Imam / Rabbi,"Varies, but often socially conservative with a focus on community cohesion and charity.","Respectful, guided by faith, and often appealing to the MP's moral compass.",Advocating for their religious community and promoting faith-based values in society.
rID_1057,Medium,Very Negative,"['Housing & Planning', 'Healthcare & NHS']",The 'Urban Progressive' Tech Worker,32,Non-binary,Software Developer,"Strongly progressive, likely a Green or Labour voter.","Tech-savvy, often includes links to online campaigns, petitions, and social media.","Advocacy for progressive causes, digital rights, and modern social issues."
rID_1163,Medium,Positive,"['Animal Welfare', 'Energy & Utilities']",The Overwhelmed Single Parent,32,Female,Juggling part-time work and childcare,No time or energy for political engagement.,"A cry for help, written out of desperation, can be emotional and unstructured.","Hitting a crisis point with finances, childcare, or housing."
rID_82,Medium,Positive,['Justice & Legal System'],The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_582,Medium,Positive,"['Culture, Media & Sport']",The University Lecturer,55,Male,Academic,Typically left-leaning.,"Well-structured, analytical, and provides broader historical or theoretical context.","Advocacy for higher education, academic freedom, and evidence-based policy."
rID_619,Medium,Very Negative,['Healthcare & NHS'],The Person with Severe Mental Health Issues,40,Male,Unemployed / Unable to work,"Often feels persecuted by the state, leading to extreme political views.","May be difficult to follow, rambling, and express a sense of persecution or extreme anxiety.",A feeling that the MP is the only person who might listen to their complex and overwhelming problems.
rID_568,Medium,Mixed,['Non-Actionable / Incoherent'],The Young Person in the Care System,19,Female,Care Leaver,Distrustful of authority figures and the 'system'.,A powerful and emotional personal testimony of her experiences.,A feeling of being let down by the care system and a desire for change for others.
rID_1077,Short,Positive,"[""Employment & Workers' Rights"", 'Pensions & National Insurance']",The Landlord,55,Male,Property Landlord,"Tends to be right-leaning, focused on property rights and minimal regulation.","Driven by financial self-interest, can be defensive in tone.",Protecting their investment and business interests from perceived hostile regulation.
rID_1027,Medium,Mixed,"['Energy & Utilities', 'Agriculture & Rural Affairs']",The Person in a Very Remote Rural Area,60,Female,Retired / Works from home,Tends to be self-reliant and skeptical of central government.,Polite but frustrated.,"A lack of basic services like broadband, public transport, or access to healthcare."
rID_48,Medium,Negative,['Environment & Climate Change'],The 'Gig Economy' Worker,26,Male,Delivery Driver / Freelancer,"Likely left-leaning, feels disenfranchised.","Often written late at night, expressing frustration with a lack of rights and security.",The precariousness of modern work and a desire for better employment rights.
rID_9,Medium,Very Negative,['Cost of Living & Economy'],The 'Disengaged Battler',40,Female,"Low-paid, insecure work (e.g., cleaner, retail assistant)",Feels no party represents her; highly cynical about politics.,"Likely to be a last resort, emotionally charged, and may contain typos or informal language.","A personal crisis (e.g., benefits, housing) has forced her to engage."
rID_578,Medium,Mixed,['Disability Rights & Access'],The University Lecturer,55,Male,Academic,Typically left-leaning.,"Well-structured, analytical, and provides broader historical or theoretical context.","Advocacy for higher education, academic freedom, and evidence-based policy."
rID_337,Medium,Negative,['Immigration & Asylum'],The 'Disengaged Battler',40,Female,"Low-paid, insecure work (e.g., cleaner, retail assistant)",Feels no party represents her; highly cynical about politics.,"Likely to be a last resort, emotionally charged, and may contain typos or informal language.","A personal crisis (e.g., benefits, housing) has forced her to engage."
rID_360,Medium,Very Positive,['Healthcare & NHS'],The 'Left-Behind Patriot' Factory Worker,50,Male,Factory Worker,Traditionally Labour but now politically homeless or leans towards populist right.,Expresses a tone of disillusionment and a sense of injustice; can be emotional.,A feeling that their community has been forgotten by politicians and a desire for secure employment.
rID_875,Medium,Very Negative,"['Immigration & Asylum', 'Housing & Planning']",The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
rID_291,Medium,Very Positive,['Consumer Rights & Issues'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_736,Medium,Positive,['Transportation & Infrastructure'],The 'Left-Behind Patriot' Factory Worker,50,Male,Factory Worker,Traditionally Labour but now politically homeless or leans towards populist right.,Expresses a tone of disillusionment and a sense of injustice; can be emotional.,A feeling that their community has been forgotten by politicians and a desire for secure employment.
rID_101,Short,Neutral,['Healthcare & NHS'],The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_130,Medium,Neutral,['Local Campaign Support'],The 'Urban Progressive' Tech Worker,32,Non-binary,Software Developer,"Strongly progressive, likely a Green or Labour voter.","Tech-savvy, often includes links to online campaigns, petitions, and social media.","Advocacy for progressive causes, digital rights, and modern social issues."
rID_880,Long,Very Positive,"['Immigration & Asylum', 'Digital & Technology']",The 'Loyal National' Brexiteer,60,Male,Skilled Tradesman,"Patriotic, firm believer in Brexit, distrustful of the 'establishment'.","Passionate, sometimes frustrated, and direct.",A strong sense of national sovereignty and a feeling of betrayal by political elites.
rID_1214,Medium,Mixed,"['Taxation & Public Spending', 'Immigration & Asylum', 'Healthcare & NHS']",The Trade Union Representative,48,Male,"Union Rep (e.g., in transport, manufacturing)",Strongly Labour.,"Formal, collective in nature ('on behalf of our members'), and firm.","Advocating for workers' rights, pay, and conditions."
rID_1192,Medium,Very Positive,"['Local Government & Council Tax', 'Cost of Living & Economy', 'Consumer Rights & Issues']",The 'Soft-Left Liberal' Teacher,35,Female,Secondary School Teacher,"Centre-left, likely a Labour or Green voter.","Well-written, informed by professional experience, blending rational concern with emotional frustration.",A sense of duty to her students and the future of the education system.
rID_271,Medium,Neutral,['Pensions & National Insurance'],The Agricultural Worker,25,Male,Seasonal / Migrant Farm Worker,Often unaware of political rights or too precarious to engage.,"May be in hesitant or broken English, direct and factual about their situation.","Experiencing exploitation, poor living conditions, or issues with pay."
rID_833,Medium,Very Positive,['Healthcare & NHS'],The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_60,Medium,Negative,['Immigration & Asylum'],The 'Left-Behind Patriot' Factory Worker,50,Male,Factory Worker,Traditionally Labour but now politically homeless or leans towards populist right.,Expresses a tone of disillusionment and a sense of injustice; can be emotional.,A feeling that their community has been forgotten by politicians and a desire for secure employment.
rID_54,Medium,Very Negative,['Digital & Technology'],The Devout Religious Leader,50,Male,Vicar / Imam / Rabbi,"Varies, but often socially conservative with a focus on community cohesion and charity.","Respectful, guided by faith, and often appealing to the MP's moral compass.",Advocating for their religious community and promoting faith-based values in society.
rID_897,Medium,Mixed,"['Pensions & National Insurance', 'Social Security & Benefits']",The Council Tenant Facing Eviction,48,Male,Unemployed or in precarious work,Likely Labour but feels let down by everyone.,"Emotional, desperate, and written in a state of crisis.",A last-ditch attempt to save their home.
rID_912,Short,Neutral,"['Energy & Utilities', 'Justice & Legal System']",The Local Journalist,33,Female,Journalist,Professionally impartial.,"Professional, inquisitive, direct, and often on a deadline.",Seeking comments and holding the MP accountable for local stories.
rID_694,Medium,Positive,['Local Campaign Support'],The 'Civic Pragmatist' Community Leader,45,Female,Charity Manager / Community Leader,"Politically centrist, pragmatic, and non-partisan in their community role.","Collaborative, solution-oriented, and professional.",Improving the local community and seeking partnership for practical outcomes.
